#Block_Size Dimension runtime residual
1500 11031.605000000001 6.36442419573e-13 62
1500 11118.485 1.32676781496e-12 63
1500 11045.041 7.82399325662e-13 64
1500 11090.097 2.01375241513e-12 65
1500 11074.064999999999 1.59484362554e-12 66
1500 11098.103 1.00928427824e-12 67
1500 11062.868999999999 3.85472097733e-12 68
1500 11085.819000000001 1.17369722325e-12 69
100 59.624 2.85007652141e-13               62 
300 395.091 2.5286380501e-13               62 
500 1134.3000000000002 5.81096384054e-13   62 
700 2270.758 7.07073442077e-13             62 
900 3797.143 3.14521762882e-12             62 
1100 5822.504 3.6639493811e-13             62 
1200 6938.706 1.83547814836e-12            62 
1400 9672.768 6.52665215691e-11            62 
1600 12938.347 1.9874160908e-12            62 
1800 16737.922000000002 2.11117386609e-12  62 
2000 20995.031000000003 1.27945063024e-12 62
2500 34731.038 1.01674206205e-11 62
3000 52477.272 3.14801536743e-11 62
3500 75224.075 1.13262863469e-12 62
4000 102839.13200000001 6.27396488279e-12 62
4500 136191.106 1.5211933112e-12 62
5000 177010.795 1.9175564003e-11 62
100 44.361 2.10194094676e-15                  10 
300 393.96500000000003 2.43054592008e-13      10 
500 1130.574 6.57808512346e-14                10 
700 2304.386 7.17468229477e-14                10 
900 3966.602 1.45171577548e-13                10 
1100 6131.243 8.61890226569e-14               10 
1200 7463.076 2.06465018698e-13               10 
1400 10478.896 5.34428273478e-14              10 
1600 14042.87 3.80742433508e-13               10 
1800 18429.052 1.75260212772e-13              10 
2000 23404.24 1.05390880609e-12 10
2500 41009.613000000005 1.35463003055e-13 10
3000 63075.521 5.47157412466e-13 10
3500 93628.587 3.35634312672e-12 10
4000 132443.839 9.17464677516e-13 10
4500 180376.532 3.27694272261e-13 10
5000 237639.147 1.55916116628e-12 10
