100 3.642 1.52799994879e-14 6.4805106859e-17
1100 405.261 6.67522703779e-13 7.00124032719e-17
2100 1484.135 2.57100700518e-12 7.20804303167e-17
3100 3257.053 5.82910178907e-12 7.17952118481e-17
4100 5617.88 1.2861288809e-11 7.08297937224e-17
5100 8571.366 3.16611580308e-11 6.84241152047e-17
6100 12410.192 5.52300027206e-11 6.9406846642e-17
7100 16902.03 1.26877862066e-10 7.12477110952e-17
8100 21844.359 2.71877732741e-10 7.06869186393e-17
9100 27768.134 6.18895617514e-10 6.91763497765e-17
10100 34468.083 1.40773143323e-09 7.02441594467e-17
