#Dimension runtime residual # Slower version of LU without pivot
100 297.226 1.0622012889711855e-15 
200 3.9880000000000004 1.0063349131812267e-13 
300 12.965000000000002 1.0820904743262911e-14 
400 24.934 1.485350009896754e-14 
500 43.882 9.507798388951185e-15 
600 64.827 2.3945398321275806e-13 
700 98.736 6.366970159519923e-14 
800 144.613 4.326810170196954e-14 
900 263.343 4.552139693915964e-13 
1000 331.20500000000004 2.5225375335615e-14 
1100 547.658 8.947109002282654e-14 
1200 522.0740000000001 3.334144597908465e-14 
1300 719.317 3.3070521044496673e-13 
1400 863.699 7.493360631965087e-13 
1500 1282.1560000000002 3.2978812978335873e-12 
#1600 1504.296 4.59352237923452e-13 
#1700 1690.021 4.4361104445755493e-13 
#1800 2599.913 6.69766999327991e-13 
#1900 2318.6420000000003 4.618399105990532e-13 
2000 2880.827 5.2764322453395254e-14 
2500 5922.7970000000005 2.487407558114233e-12 
3000 11916.346000000001 8.209913200770362e-14 
3500 17459.754 1.347581080932731e-13 
4000 24353.452 5.640016003329426e-13 
4500 36380.001 4.1659490674577245e-13 
5000 49329.504 8.627190615616255e-13 
6000 84322.089 6.150251099581113e-13 
7000 130192.24 2.6713174708839176e-11 
8000 182774.549 1.514168419018197e-12 
9000 245013.326 5.552368437822005e-12 
10000 336867.923 1.1557341656930168e-11 
